time,latitude,longitude,depth,mag,rms,magNst,Distance_to_Nearest_Fault,TimeToNext,year,month,day,hour
1985-02-05 22:19:07.990000+00:00,39.73,49.096,33.0,4.5,1.2,8.0,0.07673243702493708,64.0,1985,2,5,22
1985-02-16 21:33:29.100000+00:00,39.842,41.816,10.0,4.9,1.4,22.0,0.010847925622496151,10.0,1985,2,16,21
1985-02-27 16:34:19.460000+00:00,37.956,43.073,42.9,4.6,1.2,14.0,0.315121944184095,10.0,1985,2,27,16
1985-04-03 01:44:26.830000+00:00,38.099,48.422,26.3,4.7,1.2,13.0,0.039075906483022095,34.0,1985,4,3,1
1985-04-18 16:34:41.130000+00:00,39.783,44.799,33.0,4.5,1.3,3.0,0.05948493752237818,15.0,1985,4,18,16
1985-05-09 18:50:22.980000+00:00,39.299,48.771,33.0,4.5,1.1,2.0,0.25514251740857696,21.0,1985,5,9,18
1985-07-04 05:08:31.580000+00:00,42.132,45.86,33.0,5.4,1.3,23.0,0.0022196078216852916,55.0,1985,7,4,5
1985-08-12 02:54:42.650000+00:00,39.922,39.811,20.4,4.9,0.9,37.0,0.026692551776727382,38.0,1985,8,12,2
1985-09-02 02:13:34.260000+00:00,43.245,46.873,33.0,4.7,0.2,3.0,1.2966688534116915,20.0,1985,9,2,2
1985-09-20 06:29:40.290000+00:00,40.776,42.588,10.0,4.5,1.1,6.0,0.0068539991271068705,18.0,1985,9,20,6
1985-10-16 21:22:39.740000+00:00,40.65,50.761,33.0,4.8,1.0,34.0,0.1782484797594199,26.0,1985,10,16,21
1985-10-22 01:26:07.980000+00:00,42.64,46.48,33.0,4.7,1.4,9.0,0.5926398896490904,5.0,1985,10,22,1
1985-11-02 09:34:14.190000+00:00,37.521,49.068,33.0,4.5,1.3,4.0,0.05239117192458987,11.0,1985,11,2,9
1985-11-07 08:26:21.440000+00:00,40.31,42.307,33.0,5.2,1.2,23.0,0.03119636770972038,4.0,1985,11,7,8
1986-01-01 06:09:06.720000+00:00,39.119,41.715,45.2,4.8,1.0,23.0,0.08950489735945374,54.0,1986,1,1,6
1986-01-06 00:09:10.900000+00:00,40.537,49.299,33.0,4.9,1.2,8.0,0.0993020670248695,4.0,1986,1,6,0
1986-01-27 16:35:52.870000+00:00,38.885,48.62,71.2,5.3,0.9,55.0,0.025673093398283567,21.0,1986,1,27,16
1986-02-07 22:53:16.470000+00:00,40.983,49.526,33.0,4.7,1.1,9.0,0.18917135976422225,11.0,1986,2,7,22
1986-04-11 04:10:31.250000+00:00,40.127,43.397,10.0,5.0,0.9,18.0,0.019719839778724126,62.0,1986,4,11,4
1986-04-29 22:07:55.290000+00:00,38.056,49.036,33.0,4.7,1.2,19.0,0.10709486781273019,18.0,1986,4,29,22
1986-05-13 08:44:02.140000+00:00,41.431,43.737,10.0,5.8,1.1,23.0,0.07283015446915342,13.0,1986,5,13,8
1986-06-02 15:16:17.970000+00:00,40.996,47.861,33.0,4.6,1.3,14.0,0.1056231591615791,20.0,1986,6,2,15
1986-07-10 18:57:17.240000+00:00,38.376,45.114,33.0,4.7,1.5,15.0,0.07103469456506684,38.0,1986,7,10,18
1986-07-12 17:00:53.130000+00:00,38.438,45.164,35.7,4.8,1.0,25.0,0.04843743581555638,1.0,1986,7,12,17
1986-07-17 00:12:01.420000+00:00,38.444,45.397,33.0,4.5,1.4,4.0,0.004429334242825983,4.0,1986,7,17,0
1986-08-10 17:47:55.770000+00:00,38.537,43.436,43.1,4.7,1.0,35.0,0.06100760223622356,24.0,1986,8,10,17
1986-08-24 01:55:22.460000+00:00,40.812,49.66,33.0,4.5,1.2,4.0,0.03632236208961726,13.0,1986,8,24,1
1986-09-03 09:28:18.200000+00:00,41.59,43.468,10.0,4.7,1.3,33.0,0.014131673899587192,10.0,1986,9,3,9
1986-11-01 03:18:10.180000+00:00,41.109,40.162,33.0,4.7,1.0,35.0,0.22433316245079252,58.0,1986,11,1,3
1986-11-05 01:15:39.840000+00:00,38.694,48.617,86.2,4.5,1.3,5.0,0.12504677637761744,3.0,1986,11,5,1
1987-02-22 06:51:41.820000+00:00,38.418,40.551,10.0,4.9,1.1,6.0,0.09678301146762708,109.0,1987,2,22,6
1987-05-05 10:40:44.650000+00:00,42.527,46.909,33.0,4.6,1.1,9.0,0.6934870490286933,72.0,1987,5,5,10
1987-05-14 22:24:05.080000+00:00,39.915,40.049,48.7,4.7,1.3,32.0,0.05707464954807336,9.0,1987,5,14,22
1987-11-05 07:19:17.080000+00:00,40.182,49.817,33.0,4.5,0.6,8.0,0.3513510387647092,174.0,1987,11,5,7
1987-12-07 00:07:32.510000+00:00,37.956,42.879,33.0,4.7,1.0,32.0,0.23174155837692972,31.0,1987,12,7,0
1988-01-07 10:59:38.780000+00:00,38.346,45.476,33.0,4.7,1.4,9.0,0.04358409386897072,31.0,1988,1,7,10
1988-01-27 03:46:59.530000+00:00,39.829,45.15,33.0,4.6,1.2,15.0,0.05432883652617455,19.0,1988,1,27,3
1988-03-30 21:42:04.110000+00:00,39.276,40.46,10.0,4.5,0.9,7.0,0.11195462598217691,63.0,1988,3,30,21
1988-04-20 03:50:08.390000+00:00,39.109,44.123,55.2,5.5,1.1,23.0,0.06432870099016269,20.0,1988,4,20,3
1988-04-21 10:01:48.070000+00:00,39.045,44.05,47.3,4.7,1.1,9.0,0.019266683429414597,1.0,1988,4,21,10
1988-05-03 08:41:22.750000+00:00,42.501,47.639,33.0,4.6,1.3,18.0,1.0333083723153942,11.0,1988,5,3,8
1988-05-03 09:15:21.740000+00:00,42.469,47.663,22.4,5.3,1.2,23.0,1.0210674801617985,0.0,1988,5,3,9
1988-06-25 16:15:38.340000+00:00,38.458,43.038,50.9,5.5,1.1,23.0,0.08947992823156783,53.0,1988,6,25,16
1988-09-06 19:16:37.450000+00:00,42.007,41.725,10.0,5.0,1.2,43.0,0.08704545649831212,73.0,1988,9,6,19
1988-10-16 23:35:24.510000+00:00,37.964,44.815,33.0,4.5,1.3,5.0,0.11300874927190856,40.0,1988,10,16,23
1988-10-18 12:35:43.930000+00:00,40.883,41.673,10.0,4.8,1.3,8.0,0.03052871992407626,1.0,1988,10,18,12
1988-10-25 17:38:55.580000+00:00,42.058,47.854,33.0,4.6,1.0,9.0,0.7107085546312213,7.0,1988,10,25,17
1988-12-07 07:41:24.200000+00:00,40.987,44.185,5.4,6.8,1.3,24.0,0.07093491938277198,42.0,1988,12,7,7
1988-12-07 07:45:44.870000+00:00,40.974,44.246,10.0,5.9,1.3,24.0,0.07071388765672297,0.0,1988,12,7,7
1988-12-07 08:06:28.110000+00:00,40.903,44.396,10.0,4.8,0.9,8.0,0.01807426809492517,0.0,1988,12,7,8
1988-12-07 08:57:06.110000+00:00,40.936,43.209,10.0,4.6,1.3,6.0,0.12344072736884598,0.0,1988,12,7,8
1988-12-07 09:28:51.380000+00:00,40.69,45.37,10.0,4.6,0.5,4.0,0.20143288687302047,0.0,1988,12,7,9
1988-12-07 09:34:34.050000+00:00,40.956,44.078,10.0,5.0,1.4,36.0,0.016828147338778757,0.0,1988,12,7,9
1988-12-07 18:05:42.820000+00:00,40.952,44.16,10.0,4.6,1.4,8.0,0.032146791615460635,0.0,1988,12,7,18
1988-12-07 20:07:30.340000+00:00,41.208,44.471,10.0,4.6,1.2,4.0,0.03320956532617852,0.0,1988,12,7,20
1988-12-08 01:15:54.030000+00:00,40.755,44.817,10.0,4.9,1.5,5.0,0.046625273205979895,0.0,1988,12,8,1
1988-12-08 04:09:36.020000+00:00,40.884,44.41,10.0,4.7,1.3,6.0,0.005281387146025495,0.0,1988,12,8,4
1988-12-08 05:36:29.820000+00:00,40.944,44.1,10.0,5.0,1.0,6.0,0.009984414609106027,0.0,1988,12,8,5
1988-12-08 07:46:01.410000+00:00,40.874,44.336,10.0,4.6,1.5,18.0,0.005464477057051157,0.0,1988,12,8,7
1988-12-08 20:32:06.410000+00:00,41.147,44.206,10.0,4.8,1.3,19.0,0.15873012382762627,0.0,1988,12,8,20
1988-12-10 19:13:59.020000+00:00,40.761,44.077,10.0,4.5,1.0,4.0,0.14023751565555292,1.0,1988,12,10,19
1988-12-31 04:07:10.440000+00:00,40.908,43.934,10.0,4.7,1.5,18.0,0.05817446165629526,20.0,1988,12,31,4
1989-01-04 07:29:41.150000+00:00,40.89,44.274,10.0,5.0,1.2,19.0,0.0032415041945313464,4.0,1989,1,4,7
1989-02-15 10:10:08.460000+00:00,37.29,50.304,53.1,4.6,1.2,6.0,0.23540945242560124,42.0,1989,2,15,10
1989-03-30 16:36:24.580000+00:00,41.081,43.915,10.0,4.6,1.2,18.0,0.10812905966945374,43.0,1989,3,30,16
1989-04-13 07:49:20.380000+00:00,41.764,45.855,33.0,4.8,1.2,29.0,0.05450743639178432,13.0,1989,4,13,7
1989-05-20 20:44:02.260000+00:00,39.553,40.172,38.2,5.4,1.2,23.0,0.025778942159258102,37.0,1989,5,20,20
1989-08-03 07:42:40.840000+00:00,43.522,45.362,18.2,5.2,1.2,23.0,0.9065170102877257,74.0,1989,8,3,7
1989-08-15 14:35:31.260000+00:00,41.132,48.672,33.0,4.7,1.2,4.0,0.03598827104567577,12.0,1989,8,15,14
