time,latitude,longitude,depth,mag,rms,magNst,Distance_to_Nearest_Fault,TimeToNext,year,month,day,hour
1982-03-08 09:42:13.960000+00:00,42.004,48.548,0.46923076923076923,0.2727272727272725,1.2,9.0,0.4909390638963988,0.2099507916422119,1982,3,8,9
1982-03-23 09:56:09.850000+00:00,39.003,42.066,0.11538461538461539,0.09090909090908994,1.3,6.0,0.10463172862023305,0.0669730509781099,1982,3,23,9
1982-03-23 15:10:35.410000+00:00,38.877,41.5,0.11538461538461539,0.0,1.5,2.0,0.0003376561966536896,0.0009742821904864086,1982,3,23,15
1982-03-27 19:57:23.160000+00:00,39.167,41.899,0.46923076923076923,0.8181818181818183,1.1,58.0,0.0021497657701165904,0.018736635933173745,1982,3,27,19
1982-04-24 18:04:05.110000+00:00,38.36,39.577,0.11538461538461539,0.0,1.1,11.0,0.04442122749554446,0.12458470653294594,1982,4,24,18
1982-04-29 16:27:16.830000+00:00,41.024,48.092,0.46923076923076923,0.0,1.2,15.0,0.00489136646721519,0.022010001427403694,1982,4,29,16
1982-05-03 04:10:03.520000+00:00,41.183,46.198,0.46923076923076923,0.6363636363636367,1.0,56.0,0.011599729328520617,0.015563608971736774,1982,5,3,4
1982-05-19 13:32:54.910000+00:00,39.867,42.242,0.46923076923076923,0.09090909090908994,1.0,14.0,0.009367130993303264,0.07313594528619251,1982,5,19,13
1982-05-25 08:06:08.320000+00:00,41.393,44.001,0.46923076923076923,0.18181818181818166,1.0,14.0,0.004993140171003699,0.025759401581240376,1982,5,25,8
1982-05-29 14:21:57.570000+00:00,39.413,43.67,0.11538461538461539,0.2727272727272725,1.1,33.0,0.12271245121535769,0.019012489304103798,1982,5,29,14
1982-10-13 03:51:29.730000+00:00,39.141,41.95,0.46923076923076923,0.18181818181818166,1.2,16.0,0.015365207873433071,0.6093393698110711,1982,10,13,3
1982-12-09 22:31:38.870000+00:00,38.338,40.599,0.11538461538461539,0.3636363636363633,1.3,33.0,0.10948350457476531,0.2578044648474454,1982,12,9,22
1982-12-11 16:25:58.280000+00:00,38.318,40.588,0.46923076923076923,0.0,1.1,7.0,0.12138678201098976,0.007790897086028043,1982,12,11,16
1982-12-17 06:51:33.810000+00:00,40.991,49.561,0.46923076923076923,0.18181818181818166,0.6,7.0,0.123216224704032,0.02499208972448213,1982,12,17,6
1982-12-22 09:49:05.080000+00:00,41.769,45.893,0.46923076923076923,0.09090909090908994,1.2,7.0,0.01901227108046291,0.022860029013567082,1982,12,22,9
1983-01-01 23:06:18.530000+00:00,39.242,40.203,0.11538461538461539,0.09090909090908994,1.0,5.0,0.09931778200095334,0.04709020516882505,1983,1,1,23
1983-01-21 03:24:00.700000+00:00,42.976,47.009,0.46923076923076923,0.0,1.2,3.0,0.6915903846839777,0.08557637095107494,1983,1,21,3
1983-02-23 05:33:55.430000+00:00,40.56,50.034,0.46923076923076923,0.09090909090908994,1.4,5.0,0.026947222505166808,0.1476482886346071,1983,2,23,5
1983-03-26 10:51:47.320000+00:00,38.863,44.333,0.46923076923076923,0.0,1.1,4.0,0.019932154301425458,0.13930669546860588,1983,3,26,10
1983-04-02 00:32:27.770000+00:00,39.042,48.714,0.46923076923076923,0.09090909090908994,1.3,7.0,0.08396316964564207,0.029314898737948444,1983,4,2,0
